name,time,humidity,info,location,sensor_id,temperature
senzore_data,1745198491815264820,63.2,SHT20,"48.9757129374215,17.08574914434807",1,14.4
senzore_data,1745199522866289359,63.7,SHT20,"48.9757129374215,17.08574914434807",1,14.3
senzore_data,1745200642864757528,63.7,SHT20,"48.9757129374215,17.08574914434807",1,14.2
senzore_data,1745201985827485618,63.2,SHT20,"48.9757129374215,17.08574914434807",1,13.9
senzore_data,1745202903799468753,63.3,SHT20,"48.9757129374215,17.08574914434807",1,13.8
senzore_data,1745204189826887901,63.6,SHT20,"48.9757129374215,17.08574914434807",1,13.7
senzore_data,1745205383810778686,64.2,SHT20,"48.9757129374215,17.08574914434807",1,13.3
senzore_data,1745206215879538361,65.0,SHT20,"48.9757129374215,17.08574914434807",1,13.3
senzore_data,1745207370848881279,64.7,SHT20,"48.9757129374215,17.08574914434807",1,13.3
senzore_data,1745208780841229420,66.3,SHT20,"48.9757129374215,17.08574914434807",1,13.3
senzore_data,1745209718840070282,66.6,SHT20,"48.9757129374215,17.08574914434807",1,13.3
senzore_data,1745211128884449189,67.3,SHT20,"48.9757129374215,17.08574914434807",1,13.5
senzore_data,1745212087856553914,67.8,SHT20,"48.9757129374215,17.08574914434807",1,13.7
senzore_data,1745213092841997380,67.4,SHT20,"48.9757129374215,17.08574914434807",1,14.1
senzore_data,1745213956826942581,68.2,SHT20,"48.9757129374215,17.08574914434807",1,14.4
senzore_data,1745214820815897597,67.6,SHT20,"48.9757129374215,17.08574914434807",1,14.8
senzore_data,1745215652902114793,68.0,SHT20,"48.9757129374215,17.08574914434807",1,15.3
senzore_data,1745216455834756033,67.0,SHT20,"48.9757129374215,17.08574914434807",1,15.8
senzore_data,1745217181917037753,67.1,SHT20,"48.9757129374215,17.08574914434807",1,16.4
senzore_data,1745217970887034981,64.5,SHT20,"48.9757129374215,17.08574914434807",1,16.9
senzore_data,1745218547849261038,64.1,SHT20,"48.9757129374215,17.08574914434807",1,17.2
senzore_data,1745219485865578075,62.8,SHT20,"48.9757129374215,17.08574914434807",1,17.6
senzore_data,1745220223913678324,62.4,SHT20,"48.9757129374215,17.08574914434807",1,18.0
senzore_data,1745221087908352730,61.7,SHT20,"48.9757129374215,17.08574914434807",1,18.4
senzore_data,1745221904816920870,60.8,SHT20,"48.9757129374215,17.08574914434807",1,18.9
senzore_data,1745222642879044588,60.9,SHT20,"48.9757129374215,17.08574914434807",1,19.3
senzore_data,1745223560852764965,59.9,SHT20,"48.9757129374215,17.08574914434807",1,19.9
senzore_data,1745224243891704142,58.5,SHT20,"48.9757129374215,17.08574914434807",1,20.4
senzore_data,1745224926904576034,58.2,SHT20,"48.9757129374215,17.08574914434807",1,20.8
senzore_data,1745225808894904240,57.3,SHT20,"48.9757129374215,17.08574914434807",1,21.1
senzore_data,1745226656901468134,54.1,SHT20,"48.9757129374215,17.08574914434807",1,21.7
senzore_data,1745227163820758636,53.5,SHT20,"48.9757129374215,17.08574914434807",1,21.9
senzore_data,1745228145878320922,55.7,SHT20,"48.9757129374215,17.08574914434807",1,22.2
senzore_data,1745228828856937210,54.0,SHT20,"48.9757129374215,17.08574914434807",1,22.2
senzore_data,1745229746831449745,53.1,SHT20,"48.9757129374215,17.08574914434807",1,22.4
senzore_data,1745230664891391205,51.0,SHT20,"48.9757129374215,17.08574914434807",1,22.8
