name,time,humidity,location,sensor_id,temperature
senzore_data,1744326149347765146,55.2,"48.9757129374215,17.08574914434807",1,9.7
senzore_data,1744326450105300750,55.5,"48.9757129374215,17.08574914434807",1,9.7
senzore_data,1744327351740825511,54.9,"48.9757129374215,17.08574914434807",1,9.7
senzore_data,1744328252541551269,55.1,"48.9757129374215,17.08574914434807",1,9.6
senzore_data,1744329153881481812,55.4,"48.9757129374215,17.08574914434807",1,9.4
senzore_data,1744330054725420835,55.5,"48.9757129374215,17.08574914434807",1,9.4
senzore_data,1744330955560205485,56.1,"48.9757129374215,17.08574914434807",1,9.4
senzore_data,1744331856383837983,56.3,"48.9757129374215,17.08574914434807",1,9.1
senzore_data,1744332157438350866,56.8,"48.9757129374215,17.08574914434807",1,9
senzore_data,1744333059214044878,58.3,"48.9757129374215,17.08574914434807",1,8.6
senzore_data,1744333360013259226,58.7,"48.9757129374215,17.08574914434807",1,8.7
senzore_data,1744334261691813738,58.6,"48.9757129374215,17.08574914434807",1,8.8
senzore_data,1744335162453590283,57.7,"48.9757129374215,17.08574914434807",1,9.2
senzore_data,1744335463776289504,57.7,"48.9757129374215,17.08574914434807",1,9.3
senzore_data,1744336365440565275,58,"48.9757129374215,17.08574914434807",1,9.1
senzore_data,1744336666747022999,58.1,"48.9757129374215,17.08574914434807",1,9.2
senzore_data,1744337568442331768,58.5,"48.9757129374215,17.08574914434807",1,8.9
senzore_data,1744337869256103487,58.9,"48.9757129374215,17.08574914434807",1,8.7
senzore_data,1744338172602072333,58.8,"48.9757129374215,17.08574914434807",1,8.8
senzore_data,1744339075236344576,59,"48.9757129374215,17.08574914434807",1,8.5
senzore_data,1744339376064794636,59.3,"48.9757129374215,17.08574914434807",1,8.4
senzore_data,1744340277773273230,59.8,"48.9757129374215,17.08574914434807",1,7.9
senzore_data,1744340578950479795,59.7,"48.9757129374215,17.08574914434807",1,8
senzore_data,1744341483206199346,59.2,"48.9757129374215,17.08574914434807",1,8
senzore_data,1744342384039833879,59.1,"48.9757129374215,17.08574914434807",1,7.4
senzore_data,1744342506285272437,59.3,"48.9757129374215,17.08574914434807",1,7.2
senzore_data,1744342807096536285,60,"48.9757129374215,17.08574914434807",1,6.9
senzore_data,1744343108398820702,60.5,"48.9757129374215,17.08574914434807",1,6.7
senzore_data,1744343412355981368,60.8,"48.9757129374215,17.08574914434807",1,6.5
senzore_data,1744343714020054265,61.3,"48.9757129374215,17.08574914434807",1,6.3
senzore_data,1744344015784701502,61.2,"48.9757129374215,17.08574914434807",1,6.3
senzore_data,1744344917465088104,61,"48.9757129374215,17.08574914434807",1,6.1
senzore_data,1744345218259904951,61,"48.9757129374215,17.08574914434807",1,6.1
senzore_data,1744346121907619825,61.4,"48.9757129374215,17.08574914434807",1,6.3
senzore_data,1744346422679142940,61.2,"48.9757129374215,17.08574914434807",1,6.6
senzore_data,1744346723461256034,60.3,"48.9757129374215,17.08574914434807",1,6.9
senzore_data,1744347025223544016,60.5,"48.9757129374215,17.08574914434807",1,6.9
senzore_data,1744347927445951981,60,"48.9757129374215,17.08574914434807",1,8
senzore_data,1744348048229335509,59.3,"48.9757129374215,17.08574914434807",1,8.3
senzore_data,1744348349072451555,57.3,"48.9757129374215,17.08574914434807",1,9
senzore_data,1744348470710164425,56.8,"48.9757129374215,17.08574914434807",1,9.3
senzore_data,1744348771550539176,54.5,"48.9757129374215,17.08574914434807",1,9.9
senzore_data,1744348892353294227,54.5,"48.9757129374215,17.08574914434807",1,10.2
senzore_data,1744349193094260635,52.9,"48.9757129374215,17.08574914434807",1,11.2
senzore_data,1744349313911421467,50.6,"48.9757129374215,17.08574914434807",1,11.7
senzore_data,1744349614678056388,48.7,"48.9757129374215,17.08574914434807",1,12.2
senzore_data,1744349915807396772,47.6,"48.9757129374215,17.08574914434807",1,12.7
senzore_data,1744350216574005683,45.2,"48.9757129374215,17.08574914434807",1,13.5
